prvdr_id,lgl_name,ccn
1487527,testing 123,
162618,testing 123,
1556449,testing 123,
57460,Provider Name,
1485276,testing 123,
1603204,Denzel's HHA provider,
321898,,330095
1337213,Guthrie Home Care,337449
1635587,testing 123,
323290,Steuben Co Public Hlth Chha,337013
322050,,330333
1647886,testing 123,
1564178,testing 123,
1496021,testing 123,
1606331,testing 123,
323398,St Josephs Hosp Yonkers Lthhcp,337194
323426,Episcopal General Homecare Inc,337226
1643150,testing 123,
1576545,TEST Sanford Group 90864,
1508705,testing 123,
155148,testing 123,
1520611,Onondaga Co Dpt Ltc Comm Svs,
321976,,330202
1608186,testing 123,
1629552,testing 123,
1602490,testing 123,
1551248,testing 123,
323511,"Split Rock Rehabilitation and Health Care Center, LLC",337416
1564273,testing 123,
155899,testing 123,
1606323,testing 123,
323379,Columbia County Department of Health Division of Nursing CHHA,337172
1635585,testing 123,
323351,Lincoln Hospital Homecare Dep,337132
323491,Olsten Health Services,337298
323513,Living Resources Chha,337418
1568647,testing 123,
1454637,testing 123,
323500,"PTS of Westchester, Inc.",337405
323431,St Charles Hosp Rehab Ctr Lthhp,337231
321885,,330078
158761,testing 123,
158771,testing 123,
1632442,Test Provider L NYC,
1469325,testing 123,
321903,,330101
1520612,Litson Certified Care  Inc,
1616271,testing 123,
1604390,testing 123,
1490524,testing 123,
126111,Denzel's HHA provider,
1485894,testing 123,
1500341,testing 123,
155932,testing 123,
1566764,testing 123,
1496023,testing 123,
1657218,testing 123,
1493486,testing 123,
1643145,testing 123,
1655199,testing 123,
1610064,testing 123,
323360,"North Shore University Hospital, Inc., d/b/a North Shore Home Care",337148
118575,Denzel's HHA provider,
155908,testing 123,
1551251,testing 123,
159631,testing 123,
53288,Provider Name,
323424,Gentiva Health Services Binghamton,337224
1637384,testing 123,
1645890,testing 123,
1649664,testing 123,
321842,,330014
5721,vnewyork1,
162626,testing 123,
1597470,testing 123,
1597474,testing 123,
1441387,testing 123,
1496014,testing 123,
1653385,testing 123,
1599134,testing 123,
158760,testing 123,
155916,testing 123,
1604388,testing 123,
1636027,testing 123,
1567098,testing 123,
1441380,testing 123,
1551254,testing 123,
2907,Heidenreich-Osinski,
1564272,testing 123,
1623547,testing 123,
1490518,testing 123,
1546973,testing 123,
1512095,testing 123,
1572361,testing 123,
98550,Denzel's HHA provider,337459
1599135,testing 123,
1653393,testing 123,
321978,,330204
1240699,"QC-Medi New York, Inc.",337302
1621128,testing 123,
1645896,testing 123,
323455,"Tender Loving Care Health Care Services of Nassau Suffolk, LLC",337260
1568653,testing 123,
1621131,testing 123,
155890,testing 123,
1560884,testing 123,
1493485,testing 123,
323375,Nyack Hosp Home Care Chha,337168
1599139,testing 123,
1562512,Denzel's HHA provider,
163003,testing 123,
51970,Provider Name,
1476800,testing 123,
1493483,testing 123,
323374,United Hosp Home Health Chha,337167
1657219,testing 123,
323333,Franklin County Public Health Services CHHA,337086
1508717,testing 123,
165114,testing 123,
1599490,Denzel's HHA provider,
323464,Childrens Hosp Hc,337269
1640941,testing 123,
1623541,testing 123,
1631759,testing 123,
1041138,,337206
1441378,testing 123,
1597468,testing 123,
61449,New York Milkshake Home Health,NY1111
323311,"Visiting Nurse Association of Central New York, Inc.",337052
1528805,testing 123,
1628469,Denzel's HHA provider,
1189107,"CABS Nursing Home Company, Inc, d/b/a CNH Long Term Home Health Program",337435
1568649,testing 123,
1591983,testing 123,
1600576,testing 123,
1623546,testing 123,
1173041,"NY Foundling Hosp Ctr for Pediatrics, Medical, and Rehabilitative Care, Inc.",337427
1631760,testing 123,
155895,testing 123,
121949,Denzel's HHA provider,
323365,Cabrini Medical Center Chha,337153
1577124,TEST McLaughlin Inc 74372,
1611778,testing 123,
1572354,testing 123,
1629548,testing 123,
1512094,testing 123,
1604383,testing 123,
1485876,testing 123,
155896,testing 123,
157217,testing 123,
323366,Kingsbrook Jewish Medical  Center CHHA,337154
157659,testing 123,
322037,,330290
1629550,testing 123,
1500345,testing 123,
65591,New York Milkshake Test 2,
1454640,testing 123,
161741,testing 123,
323328,Cayuga County Chha,337079
1655197,testing 123,
1369239,,333030
1041137,,337188
156607,Prov1TEST2AK-ROGU-NY-R2,
1626973,testing 123,
321921,,330126
1564867,Denzel's HHA provider,
1629551,testing 123,
1618151,testing 123,
323334,Allegany Co Health Dept Chha,337089
1590970,Denzel's HHA provider,
1528796,testing 123,
159647,testing 123,
164055,testing 123,
